id,created_at,user_id,movie_title,action,reason,genre,timestamp
93,2026-07-24 10:29:41.745471+00,guest,The Northman,accept,37.56,Action,2026-07-24 10:29:41.587904+00
94,2026-07-24 10:29:51.900051+00,guest,(session),shown,6,Romance,2026-07-24 10:29:51.773945+00
95,2026-07-24 10:30:02.964971+00,guest,(session),shown,6,Romance,2026-07-24 10:30:02.836528+00
96,2026-07-24 10:30:08.670419+00,guest,300,accept,64.45,Action,2026-07-24 10:30:08.482678+00
97,2026-07-24 10:30:14.319905+00,guest,(session),rate,3,Action,2026-07-24 10:30:14.160198+00
98,2026-07-24 10:30:24.193509+00,guest,(session),shown,6,Romance,2026-07-24 10:30:24.04848+00
99,2026-07-24 10:30:26.309407+00,guest,(session),shown,6,Romance,2026-07-24 10:30:26.192892+00
100,2026-07-24 10:30:34.391634+00,guest,(session),shown,6,Thriller,2026-07-24 10:30:34.275567+00
101,2026-07-24 10:31:14.800107+00,guest,(session),shown,6,Drama,2026-07-24 10:31:14.659477+00
102,2026-07-24 10:31:32.296874+00,guest,The Lion King,accept,17.47,Drama,2026-07-24 10:31:32.128448+00
103,2026-07-24 10:31:59.30186+00,guest,(session),rate,4,Drama,2026-07-24 10:31:59.144732+00
104,2026-07-25 04:37:33.339319+00,guest,(session),shown,6,Drama,2026-07-25 04:37:33.152628+00
105,2026-07-25 06:07:21.023869+00,guest,(session),shown,6,Sci-Fi,2026-07-25 11:37:20.062229+00
106,2026-07-25 06:07:50.180615+00,guest,(session),shown,6,Animation,2026-07-25 11:37:48.998705+00
107,2026-07-25 06:08:55.817831+00,guest,(session),shown,6,Comedy,2026-07-25 11:38:54.879544+00
108,2026-07-25 06:09:59.040849+00,8,(session),shown,6,Comedy,2026-07-25 11:39:58.109804+00
109,2026-07-25 06:20:29.991434+00,guest,(session),shown,6,Animation,2026-07-25 11:50:28.866379+00
110,2026-07-25 06:21:58.059658+00,guest,(session),shown,6,Animation,2026-07-25 11:51:56.916781+00
111,2026-07-25 06:22:37.931173+00,guest,Kung Fu Panda 4,accept,39.79,Animation,2026-07-25 11:52:36.702064+00
112,2026-07-25 06:22:44.688974+00,guest,(session),rate,5,Animation,2026-07-25 11:52:43.409283+00
113,2026-07-25 06:23:55.361329+00,guest,(session),shown,6,Thriller,2026-07-25 11:53:54.343896+00
114,2026-07-25 06:25:14.709191+00,guest,(session),shown,6,Comedy,2026-07-25 11:55:13.540098+00
115,2026-07-25 06:29:37.707205+00,guest,Despicable Me 4,accept,263.01,Comedy,2026-07-25 11:59:36.554738+00
116,2026-07-25 06:29:39.472013+00,guest,(session),rate,5,Comedy,2026-07-25 11:59:38.655667+00
117,2026-07-26 05:50:34.460934+00,guest,(session),shown,6,Action,2026-07-26 05:50:34.325887+00
118,2026-07-26 05:51:41.212508+00,9,(session),shown,6,Musical,2026-07-26 05:51:41.092402+00
119,2026-07-26 06:03:11.148584+00,18,(session),shown,6,Action,2026-07-26 06:03:11.018173+00
120,2026-07-26 06:03:25.735726+00,18,(session),shown,6,Action,2026-07-26 06:03:25.59999+00
121,2026-07-26 06:03:54.284197+00,18,City of God (Cidade de Deus) (2002),accept,28.54,Action,2026-07-26 06:03:54.137815+00
122,2026-07-26 06:03:55.709745+00,18,(session),rate,5,Action,2026-07-26 06:03:55.596091+00
123,2026-07-26 06:04:08.457736+00,25,(session),shown,6,Action,2026-07-26 06:04:08.342675+00
124,2026-07-26 06:04:09.13487+00,25,(session),rate,5,Action,2026-07-26 06:04:09.015736+00
125,2026-07-26 06:04:46.126574+00,251,(session),shown,6,Action,2026-07-26 06:04:46.00899+00
126,2026-07-26 06:04:46.787534+00,251,(session),rate,5,Action,2026-07-26 06:04:46.668229+00
127,2026-07-26 06:07:43.045243+00,guest,(session),shown,6,Drama,2026-07-26 06:07:42.912456+00
128,2026-07-26 06:08:44.515518+00,guest,Taxi Driver,accept,61.42,Drama,2026-07-26 06:08:44.332693+00
129,2026-07-26 06:08:45.748804+00,guest,(session),rate,4,Drama,2026-07-26 06:08:45.622811+00
130,2026-07-26 06:09:10.882722+00,guest,(session),shown,6,Comedy,2026-07-26 06:09:10.762663+00
131,2026-07-26 06:09:11.163437+00,guest,(session),rate,4,Comedy,2026-07-26 06:09:11.047911+00
132,2026-07-26 06:09:42.473082+00,guest,Happy Gilmore 2,accept,31.56,Comedy,2026-07-26 06:09:42.322593+00
133,2026-07-26 06:11:18.840244+00,9,(session),shown,6,Comedy,2026-07-26 06:11:18.715371+00
134,2026-07-26 06:11:19.665092+00,9,(session),rate,4,Comedy,2026-07-26 06:11:19.533016+00
135,2026-07-26 06:12:10.491162+00,9,"Real Blonde, The (1997)",reject,storyline,Comedy,2026-07-26 06:12:09.863778+00
136,2026-07-26 06:15:50.990703+00,guest,(session),shown,6,Drama,2026-07-26 06:15:50.845362+00
137,2026-07-26 06:16:42.774708+00,9,(session),shown,6,Drama,2026-07-26 06:16:42.64662+00
138,2026-07-26 06:17:20.350839+00,9,"Godfather, The (1972)",accept,37.55,Drama,2026-07-26 06:17:20.198342+00
139,2026-07-26 06:17:24.373902+00,9,(session),rate,5,Drama,2026-07-26 06:17:24.256331+00
140,2026-07-26 06:18:06.052029+00,guest,(session),shown,6,Drama,2026-07-26 06:18:05.931477+00
141,2026-07-26 06:19:09.160577+00,guest,(session),shown,6,Drama,2026-07-26 06:19:09.018041+00
142,2026-07-26 06:20:06.562476+00,guest,(session),shown,6,Crime,2026-07-26 06:20:06.421602+00
143,2026-07-26 06:20:25.252813+00,guest,Pulp Fiction,reject,storyline,Crime,2026-07-26 06:20:25.137441+00
144,2026-07-26 06:20:28.885735+00,guest,(session),rate,3,Crime,2026-07-26 06:20:28.768069+00
145,2026-07-26 06:21:11.838308+00,guest,(session),shown,0,Western,2026-07-26 06:21:11.715339+00
146,2026-07-26 06:21:19.138889+00,guest,(session),shown,0,Western,2026-07-26 06:21:18.971399+00
147,2026-07-26 06:21:30.113232+00,guest,(session),shown,0,Western,2026-07-26 06:21:29.990761+00
148,2026-07-26 06:22:21.645335+00,guest,(session),shown,6,Romance,2026-07-26 06:22:21.49038+00
149,2026-07-26 06:22:32.029861+00,guest,My Dearest Assassin,reject,already_watched,Romance,2026-07-26 06:22:31.91749+00
150,2026-07-26 06:22:38.942093+00,guest,365 Days: This Day,reject,storyline,Romance,2026-07-26 06:22:38.829292+00
151,2026-07-26 06:22:45.867575+00,guest,After We Fell,reject,mood_mismatch,Romance,2026-07-26 06:22:45.748956+00
152,2026-07-26 06:22:56.056964+00,guest,Wicked,reject,genre_mismatch,Romance,2026-07-26 06:22:55.879046+00
153,2026-07-26 06:23:01.036905+00,guest,Dracula,reject,mood_mismatch,Romance,2026-07-26 06:23:00.911921+00
154,2026-07-26 06:23:11.793711+00,guest,The Handmaiden,reject,storyline,Romance,2026-07-26 06:23:11.67281+00
155,2026-07-26 06:23:18.177646+00,guest,(session),shown,6,Romance,2026-07-26 06:23:18.026526+00
156,2026-07-26 06:23:43.568385+00,9,(session),shown,6,Romance,2026-07-26 06:23:43.440615+00
157,2026-07-26 06:24:00.377648+00,guest,(session),shown,6,Romance,2026-07-26 06:24:00.223641+00
158,2026-07-26 06:39:17.352488+00,guest,(session),shown,0,Western,2026-07-26 06:39:17.227745+00
159,2026-07-26 06:39:50.7993+00,1,(session),shown,6,Western,2026-07-26 06:39:50.208621+00
160,2026-07-26 06:40:20.405697+00,guest,(session),shown,0,Western,2026-07-26 06:40:20.287026+00
161,2026-07-26 07:42:31.851885+00,25,(session),shown,6,Comedy,2026-07-26 07:42:31.213634+00
162,2026-07-26 07:43:32.080396+00,25,"Lost Boys, The (1987)",reject,mood_mismatch,Comedy,2026-07-26 07:43:31.91739+00
163,2026-07-26 07:44:01.641773+00,25,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),reject,other,Comedy,2026-07-26 07:44:01.056216+00
164,2026-07-26 07:44:16.737743+00,25,Wallace & Gromit: The Best of Aardman Animation (1996),reject,other,Comedy,2026-07-26 07:44:16.599683+00
165,2026-07-26 07:44:32.253241+00,25,"Philadelphia Story, The (1940)",reject,mood_mismatch,Comedy,2026-07-26 07:44:32.130229+00
166,2026-07-26 07:44:52.18749+00,25,Tyler Perry's I Can Do Bad All by Myself (2009),reject,genre_mismatch,Comedy,2026-07-26 07:44:52.059933+00
167,2026-07-26 07:45:07.348065+00,25,(session),rate,1,Comedy,2026-07-26 07:45:07.202955+00
168,2026-07-26 07:45:17.024677+00,25,Beautiful People (1999),reject,genre_mismatch,Comedy,2026-07-26 07:45:16.9082+00
169,2026-07-26 07:45:39.172916+00,25,(session),shown,6,Adventure,2026-07-26 07:45:39.048114+00
170,2026-07-26 07:45:39.793898+00,25,(session),rate,1,Adventure,2026-07-26 07:45:39.665851+00
171,2026-07-26 07:45:46.946292+00,25,Dragons: Gift of the Night Fury (2011),accept,7.73,Adventure,2026-07-26 07:45:46.782837+00
172,2026-07-26 07:45:57.174969+00,25,"Cat Returns, The (Neko no ongaeshi) (2002)",accept,17.96,Adventure,2026-07-26 07:45:57.003938+00
173,2026-07-26 07:46:07.166707+00,25,"Defiant Ones, The (1958)",reject,mood_mismatch,Adventure,2026-07-26 07:46:07.043372+00
174,2026-07-26 07:46:22.581246+00,25,"Princess Bride, The (1987)",reject,genre_mismatch,Adventure,2026-07-26 07:46:22.421179+00
175,2026-07-26 07:46:37.531938+00,25,Star Wars: Episode V - The Empire Strikes Back (1980),reject,other,Adventure,2026-07-26 07:46:37.411939+00
176,2026-07-26 07:46:45.880185+00,25,Walker (1987),reject,other,Adventure,2026-07-26 07:46:45.759439+00
177,2026-07-26 07:47:50.322688+00,25,(session),shown,6,Sci-Fi,2026-07-26 07:47:50.200549+00
178,2026-07-26 07:47:51.119683+00,25,(session),rate,2,Sci-Fi,2026-07-26 07:47:51.004513+00
179,2026-07-26 07:48:26.188344+00,25,District 13 (Banlieue 13) (2004),reject,other,Sci-Fi,2026-07-26 07:48:26.0625+00
180,2026-07-26 07:48:35.793814+00,25,Solaris (Solyaris) (1972),reject,other,Sci-Fi,2026-07-26 07:48:35.675457+00
181,2026-07-26 07:48:46.170076+00,25,Donnie Darko (2001),reject,other,Sci-Fi,2026-07-26 07:48:46.049092+00
182,2026-07-26 07:49:39.222482+00,7,(session),shown,6,Thriller,2026-07-26 07:49:39.094863+00
183,2026-07-26 07:49:53.69952+00,7,Bunny Lake Is Missing (1965),reject,other,Thriller,2026-07-26 07:49:53.568314+00
184,2026-07-26 07:50:01.300513+00,7,Blade Runner (1982),reject,other,Thriller,2026-07-26 07:50:01.172635+00
185,2026-07-26 07:50:16.784082+00,7,Rear Window (1954),reject,other,Thriller,2026-07-26 07:50:16.665388+00
186,2026-07-26 07:50:31.628336+00,7,Stray Dog (Nora inu) (1949),reject,other,Thriller,2026-07-26 07:50:31.502627+00
187,2026-07-26 07:50:39.319787+00,7,French Connection II (1975),reject,other,Thriller,2026-07-26 07:50:39.193559+00
188,2026-07-26 07:50:42.223971+00,7,(session),rate,1,Thriller,2026-07-26 07:50:42.105311+00
189,2026-07-26 07:51:23.449627+00,10,(session),shown,6,Animation,2026-07-26 07:51:23.322331+00
190,2026-07-26 07:51:42.059484+00,10,"Jungle Book, The (1967)",accept,18.56,Animation,2026-07-26 07:51:41.878493+00
191,2026-07-26 07:51:53.395842+00,10,(session),rate,3,Animation,2026-07-26 07:51:53.237955+00
192,2026-07-26 07:52:09.138994+00,10,Spirited Away (Sen to Chihiro no kamikakushi) (2001),accept,45.66,Animation,2026-07-26 07:52:08.980935+00
193,2026-07-27 04:56:05.300768+00,10,(session),shown,6,Adventure,2026-07-27 04:56:05.166925+00
194,2026-07-27 04:56:35.181422+00,10,"Great Escape, The (1963)",accept,29.83,Adventure,2026-07-27 04:56:34.998554+00
195,2026-07-27 04:57:01.429171+00,10,"Princess Bride, The (1987)",reject,genre_mismatch,Adventure,2026-07-27 04:57:01.303148+00
196,2026-07-27 04:57:28.016751+00,10,(session),rate,4,Adventure,2026-07-27 04:57:27.847866+00
